Time	Caliper
"2017-07-23"	2
"2017-08-22"	4
"2017-09-21"	1
"2017-11-20"	1
"2017-12-20"	2
"2018-01-19"	1
"2018-02-18"	4
"2018-03-20"	6
"2018-04-19"	8
"2018-05-19"	6
"2018-06-18"	7
"2018-07-18"	7
"2018-08-17"	4
"2018-09-16"	5
"2018-10-16"	6
"2018-11-15"	6
"2018-12-15"	7
"2019-01-14"	5
"2019-02-13"	8
"2019-03-15"	5
"2019-04-14"	7
"2019-05-14"	4
"2019-06-13"	4
"2019-07-13"	6
"2019-08-12"	5
"2019-09-11"	4
"2019-10-11"	6
"2019-11-10"	6
"2019-12-10"	5
"2020-01-09"	4
"2020-02-08"	4
"2020-03-09"	4
"2020-04-08"	8
"2020-05-08"	4
"2020-06-07"	4
"2020-07-07"	5
"2020-08-06"	4
"2020-09-05"	4
"2020-10-05"	6
"2020-11-04"	2
"2020-12-04"	1
"2021-01-03"	3
"2021-02-02"	1
"2021-03-04"	1
