Time	Explorer
"2016-08-27"	3
"2016-09-26"	2
"2016-10-26"	2
"2016-11-25"	1
"2017-05-24"	1
"2017-07-23"	1
"2017-08-22"	4
"2017-09-21"	6
"2017-10-21"	3
"2017-11-20"	1
"2017-12-20"	2
"2018-01-19"	3
"2018-02-18"	2
"2018-03-20"	5
"2018-04-19"	6
"2018-05-19"	11
"2018-06-18"	16
"2018-07-18"	16
"2018-08-17"	11
"2018-09-16"	6
"2018-10-16"	1
"2018-11-15"	3
"2018-12-15"	3
"2019-01-14"	4
"2019-02-13"	2
"2019-05-14"	3
"2019-06-13"	3
"2019-07-13"	3
"2019-08-12"	4
"2019-09-11"	2
"2019-10-11"	3
"2019-11-10"	5
"2019-12-10"	3
"2020-01-09"	1
"2020-02-08"	4
"2020-03-09"	5
"2020-04-08"	3
"2020-05-08"	3
"2020-06-07"	2
"2020-07-07"	4
"2020-08-06"	2
"2020-09-05"	4
"2020-10-05"	5
"2020-11-04"	3
"2020-12-04"	1
"2021-01-03"	1
"2021-02-02"	1
"2021-03-04"	2
"2021-04-03"	1
