Time	Fabric
"2015-09-02"	6
"2015-10-02"	8
"2015-11-01"	11
"2015-12-01"	17
"2015-12-31"	21
"2016-01-30"	22
"2016-02-29"	19
"2016-03-30"	45
"2016-04-29"	44
"2016-05-29"	49
"2016-06-28"	40
"2016-07-28"	34
"2016-08-27"	34
"2016-09-26"	47
"2016-10-26"	47
"2016-11-25"	58
"2016-12-25"	49
"2017-01-24"	69
"2017-02-23"	60
"2017-03-25"	68
"2017-04-24"	72
"2017-05-24"	72
"2017-06-23"	70
"2017-07-23"	58
"2017-08-22"	74
"2017-09-21"	72
"2017-10-21"	56
"2017-11-20"	71
"2017-12-20"	57
"2018-01-19"	69
"2018-02-18"	60
"2018-03-20"	71
"2018-04-19"	63
"2018-05-19"	64
"2018-06-18"	59
"2018-07-18"	74
"2018-08-17"	78
"2018-09-16"	82
"2018-10-16"	80
"2018-11-15"	75
"2018-12-15"	66
"2019-01-14"	72
"2019-02-13"	69
"2019-03-15"	67
"2019-04-14"	59
"2019-05-14"	57
"2019-06-13"	56
"2019-07-13"	51
"2019-08-12"	54
"2019-09-11"	59
"2019-10-11"	60
"2019-11-10"	60
"2019-12-10"	52
"2020-01-09"	56
"2020-02-08"	63
"2020-03-09"	65
"2020-04-08"	56
"2020-05-08"	54
"2020-06-07"	52
"2020-07-07"	61
"2020-08-06"	57
"2020-09-05"	53
"2020-10-05"	44
"2020-11-04"	50
"2020-12-04"	42
"2021-01-03"	43
"2021-02-02"	40
"2021-03-04"	32
"2021-04-03"	8
