Time	Grid
"2016-03-30"	11
"2016-04-29"	11
"2016-05-29"	18
"2016-06-28"	19
"2016-07-28"	17
"2016-08-27"	16
"2016-09-26"	13
"2016-10-26"	16
"2016-11-25"	14
"2016-12-25"	14
"2017-01-24"	14
"2017-02-23"	15
"2017-03-25"	15
"2017-04-24"	24
"2017-05-24"	20
"2017-06-23"	15
"2017-07-23"	15
"2017-08-22"	12
"2017-09-21"	16
"2017-10-21"	6
"2017-11-20"	1
"2017-12-20"	2
"2018-01-19"	2
"2018-02-18"	5
"2018-03-20"	5
"2018-04-19"	2
"2018-05-19"	3
"2018-06-18"	3
"2018-07-18"	4
"2018-08-17"	6
"2018-09-16"	6
"2018-10-16"	8
"2018-11-15"	7
"2018-12-15"	2
"2019-01-14"	4
"2019-02-13"	5
"2019-03-15"	11
"2019-04-14"	11
"2019-05-14"	9
"2019-06-13"	9
"2019-07-13"	5
"2019-08-12"	5
"2019-09-11"	5
"2019-10-11"	1
"2019-11-10"	5
"2019-12-10"	6
"2020-01-09"	13
"2020-02-08"	9
"2020-03-09"	6
"2020-04-08"	5
"2020-05-08"	4
"2020-06-07"	2
"2020-07-07"	5
"2020-08-06"	6
"2020-09-05"	9
"2020-10-05"	6
"2020-11-04"	5
"2020-12-04"	5
"2021-01-03"	7
"2021-02-02"	7
"2021-03-04"	9
