Time	All
"2015-06-04"	3
"2015-07-04"	3
"2015-08-03"	3
"2015-09-02"	9
"2015-10-02"	10
"2015-11-01"	14
"2015-12-01"	18
"2015-12-31"	23
"2016-01-30"	33
"2016-02-29"	28
"2016-03-30"	64
"2016-04-29"	66
"2016-05-29"	82
"2016-06-28"	73
"2016-07-28"	64
"2016-08-27"	77
"2016-09-26"	89
"2016-10-26"	92
"2016-11-25"	102
"2016-12-25"	97
"2017-01-24"	150
"2017-02-23"	145
"2017-03-25"	152
"2017-04-24"	159
"2017-05-24"	154
"2017-06-23"	163
"2017-07-23"	147
"2017-08-22"	169
"2017-09-21"	160
"2017-10-21"	146
"2017-11-20"	162
"2017-12-20"	157
"2018-01-19"	172
"2018-02-18"	168
"2018-03-20"	207
"2018-04-19"	206
"2018-05-19"	214
"2018-06-18"	211
"2018-07-18"	232
"2018-08-17"	199
"2018-09-16"	235
"2018-10-16"	239
"2018-11-15"	219
"2018-12-15"	194
"2019-01-14"	214
"2019-02-13"	226
"2019-03-15"	214
"2019-04-14"	205
"2019-05-14"	191
"2019-06-13"	196
"2019-07-13"	197
"2019-08-12"	199
"2019-09-11"	200
"2019-10-11"	212
"2019-11-10"	211
"2019-12-10"	184
"2020-01-09"	208
"2020-02-08"	245
"2020-03-09"	217
"2020-04-08"	196
"2020-05-08"	193
"2020-06-07"	190
"2020-07-07"	221
"2020-08-06"	202
"2020-09-05"	189
"2020-10-05"	186
"2020-11-04"	207
"2020-12-04"	162
"2021-01-03"	173
"2021-02-02"	168
"2021-03-04"	164
"2021-04-03"	67
