Time	Sawtooth
"2016-03-30"	11
"2016-04-29"	12
"2016-05-29"	19
"2016-06-28"	20
"2016-07-28"	18
"2016-08-27"	17
"2016-09-26"	14
"2016-10-26"	17
"2016-11-25"	14
"2016-12-25"	15
"2017-01-24"	15
"2017-02-23"	16
"2017-03-25"	15
"2017-04-24"	24
"2017-05-24"	21
"2017-06-23"	15
"2017-07-23"	15
"2017-08-22"	12
"2017-09-21"	17
"2017-10-21"	18
"2017-11-20"	23
"2017-12-20"	22
"2018-01-19"	18
"2018-02-18"	19
"2018-03-20"	24
"2018-04-19"	24
"2018-05-19"	18
"2018-06-18"	19
"2018-07-18"	22
"2018-08-17"	22
"2018-09-16"	30
"2018-10-16"	32
"2018-11-15"	31
"2018-12-15"	26
"2019-01-14"	26
"2019-02-13"	22
"2019-03-15"	30
"2019-04-14"	25
"2019-05-14"	22
"2019-06-13"	15
"2019-07-13"	9
"2019-08-12"	12
"2019-09-11"	9
"2019-10-11"	10
"2019-11-10"	5
"2019-12-10"	9
"2020-01-09"	7
"2020-02-08"	4
"2020-03-09"	3
"2020-04-08"	5
"2020-05-08"	3
"2020-06-07"	9
"2020-07-07"	6
"2020-08-06"	6
"2020-09-05"	6
"2020-10-05"	4
"2020-11-04"	3
"2020-12-04"	2
"2021-01-03"	2
"2021-02-02"	3
"2021-03-04"	4
"2021-04-03"	1
