Time	Transact
"2017-07-23"	1
"2017-08-22"	1
"2017-09-21"	1
"2017-10-21"	3
"2017-11-20"	1
"2018-01-19"	1
"2018-02-18"	2
"2018-03-20"	2
"2018-04-19"	3
"2018-05-19"	3
"2018-06-18"	3
"2018-07-18"	5
"2018-08-17"	5
"2018-09-16"	3
"2018-10-16"	2
"2018-11-15"	6
"2018-12-15"	7
"2019-01-14"	5
"2019-02-13"	6
"2019-03-15"	4
"2019-05-14"	5
"2019-06-13"	7
"2019-07-13"	3
"2019-09-11"	7
"2019-10-11"	2
"2019-11-10"	2
"2019-12-10"	4
"2020-01-09"	5
"2020-02-08"	4
"2020-04-08"	8
"2020-06-07"	1
"2020-07-07"	3
"2020-08-06"	4
"2020-09-05"	3
"2020-10-05"	2
"2020-11-04"	3
"2020-12-04"	2
"2021-01-03"	3
"2021-02-02"	2
"2021-03-04"	3
"2021-04-03"	1
